,created_on,property_type,place_name,place_with_parent_names,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,rooms,properati_url,barrio,PH,apartment,house,price_m2
1,2017-08-29,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.588912403,-58.413494218500006,340000.0,130.0,120.0,4.0,https://www.properati.com.ar/1dzv6_venta_departamento_palermo_guemes_3600_balcon_suite_jardin_lavadero_luminoso_lujoso_dependencias_placard_doble-circulacion_subte-linea-d_luisio-propiedades-suc-virrey-del-pino-2378,PALERMO,0.0,1.0,0.0,2615.3846153846152
2,2017-08-29,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.577032700000004,-58.42336750000001,222000.0,52.0,48.0,1.0,https://www.properati.com.ar/1e05k_venta_departamento_palermo_juncal-al-4500_gimnasio_jardin_lavadero_parrilla_piscina_sum_aire-acondicionado_subte-linea-h_subte-linea-c_deptos-temporarios,PALERMO,0.0,1.0,0.0,4269.2307692307695
3,2017-08-29,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5950139,-58.42739150000001,180000.0,70.0,70.0,3.0,https://www.properati.com.ar/1e0mq_venta_departamento_palermo_julian-alvarez-al-1200_lavadero_amoblado_sanchez-carrizo-real-estate,PALERMO,0.0,1.0,0.0,2571.4285714285716
4,2017-08-30,house,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.5793535,-58.4364489,1200000.0,532.0,334.0,6.0,https://www.properati.com.ar/1e1ve_venta_casa_palermo-hollywood_jardin_lavadero_piscina_luminoso_vista_garage_nexo-propiedades_h0z,PALERMO,0.0,0.0,1.0,2255.6390977443607
5,2017-08-30,house,Palermo,|Argentina|Capital Federal|Palermo|,-34.5793535,-58.4364489,1200000.0,532.0,334.0,6.0,https://www.properati.com.ar/1e1vf_venta_casa_palermo_jardin_lavadero_piscina_luminoso_vista_garage_nexo-propiedades_h0z,PALERMO,0.0,0.0,1.0,2255.6390977443607
6,2017-08-30,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.5809281,-58.4404321,270000.0,67.0,64.0,3.0,https://www.properati.com.ar/1e1x0_venta_departamento_palermo-hollywood_arevalo_1700_balcon_toilette_luminoso_apto-credito-hipotecario_yankel-group,PALERMO,0.0,1.0,0.0,4029.8507462686566
7,2017-08-30,PH,Palermo Soho,|Argentina|Capital Federal|Palermo|Palermo Soho|,-34.5897765,-58.428558,219000.0,72.0,93.82046724225495,3.0,https://www.properati.com.ar/1e1xj_venta_ph_palermo-soho_honduras_4800_patio_luminoso_ojo-propiedades,PALERMO,1.0,0.0,0.0,3041.6666666666665
8,2017-08-30,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.594251,-58.416644700000006,250000.0,67.0,60.0,2.0,https://www.properati.com.ar/1e2mz_venta_departamento_palermo_balcon_lavadero_parrilla_piscina_aire-acondicionado_apto-credito-hipotecario_ageo-propiedades_dwr,PALERMO,0.0,1.0,0.0,3731.3432835820895
11,2017-08-31,apartment,Palermo Hollywood,|Argentina|Capital Federal|Palermo|Palermo Hollywood|,-34.58256770000001,-58.43299820000001,198000.0,64.0,48.0,2.0,https://www.properati.com.ar/1e4f0_venta_departamento_palermo-hollywood_balcon_terraza_luminoso_amenities_aire-acondicionado_arkis-inmobiliaria_eoh,PALERMO,0.0,1.0,0.0,3093.75
12,2017-08-31,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5893559,-58.416935,170000.0,40.0,38.0,1.0,https://www.properati.com.ar/1e4fi_venta_departamento_palermo_balcon_garage_subte-linea-d_bienvende-amelia-claro_ej0,PALERMO,0.0,1.0,0.0,4250.0
13,2017-09-01,apartment,Barrio Norte,|Argentina|Capital Federal|Barrio Norte|,-34.57548904,-58.41962433,510000.0,239.0,127.0,2.0,https://www.properati.com.ar/1e66w_venta_departamento_barrio-norte_de-maria_4300_baulera_patio_subte-linea-d_apto-credito-hipotecario_grupo-zeta-inmobiliaria,PALERMO,0.0,1.0,0.0,2133.8912133891213
15,2017-09-01,apartment,Nuñez,|Argentina|Capital Federal|Nuñez|,-34.5672629609,-58.4318401926,640000.0,200.0,185.0,4.0,https://www.properati.com.ar/1e6hy_venta_departamento_nunez_san-benito-de-palermo_1500_balcon_baulera_suite_lavadero_toilette_vestidor_lujoso_dependencias_garage_aire-acondicionado_filippo-propiedades_9im,PALERMO,0.0,1.0,0.0,3200.0
16,2017-09-01,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.5670278,-58.435399200000006,590000.0,168.0,157.0,4.0,https://www.properati.com.ar/1e6s5_venta_departamento_belgrano_soldado-de-la-independencia_900_balcon_baulera_suite_lavadero_toilette_vestidor_luminoso_lujoso_garage_impecable_aire-acondicionado_shenk-inmobiliaria_gkj,PALERMO,0.0,1.0,0.0,3511.904761904762
17,2017-09-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.5914774208,-58.418185265,90000.0,27.0,27.0,1.0,https://www.properati.com.ar/1e6su_venta_departamento_palermo_luminoso_placard_shenk-inmobiliaria_gkj,PALERMO,0.0,1.0,0.0,3333.3333333333335
18,2017-09-01,apartment,Belgrano,|Argentina|Capital Federal|Belgrano|,-34.562785028600004,-58.4409361513,470000.0,103.0,103.0,4.0,https://www.properati.com.ar/1e7yu_venta_departamento_belgrano_del-libertador-av-_5200_balcon_baulera_suite_hidromasaje_jardin_lavadero_terraza_lujoso_dependencias_electrogeno_garage_losa-radiante_filippo-propiedades_9im,PALERMO,0.0,1.0,0.0,4563.1067961165045
19,2017-09-01,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.562785028600004,-58.4409361513,470000.0,103.0,103.0,4.0,https://www.properati.com.ar/1e7zd_venta_departamento_palermo_del-libertador-av-_5200_balcon_baulera_suite_hidromasaje_jardin_lavadero_terraza_lujoso_dependencias_electrogeno_garage_losa-radiante_filippo-propiedades_9im,PALERMO,0.0,1.0,0.0,4563.1067961165045
20,2017-09-01,apartment,Nuñez,|Argentina|Capital Federal|Nuñez|,-34.562785028600004,-58.4409361513,470000.0,103.0,103.0,4.0,https://www.properati.com.ar/1e7zf_venta_departamento_nunez_del-libertador-av-_5200_balcon_baulera_suite_hidromasaje_jardin_lavadero_terraza_lujoso_dependencias_electrogeno_garage_losa-radiante_filippo-propiedades_9im,PALERMO,0.0,1.0,0.0,4563.1067961165045
